,film,IMDB_Rating,Genre1,Genre2,Genre3
471,Zelig,7.7,Comedy,,
423,The Social Network,7.7,Biography,Drama,
263,Philadelphia,7.7,Drama,,
45,Barton Fink,7.7,Comedy,Drama,Thriller
33,Argo,7.7,Biography,Drama,Thriller
147,Goldfinger,7.7,Action,Adventure,Thriller
413,The Quiet Man,7.7,Comedy,Drama,Romance
57,Black Hawk Down,7.7,Drama,History,War
145,Glengarry Glen Ross,7.7,Crime,Drama,Mystery
411,The Purple Rose of Cairo,7.7,Comedy,Fantasy,Romance
55,Billy Elliot,7.7,Drama,Music,
270,Primal Fear,7.7,Crime,Drama,Mystery
195,Joyeux Noël,7.7,Drama,History,Music
382,The Last King of Scotland,7.7,Biography,Drama,History
437,The Verdict,7.7,Drama,,
56,Birdman or (The Unexpected Virtue of Ignorance),7.7,Comedy,Drama,
253,"O Brother, Where Art Thou?",7.7,Adventure,Comedy,Crime
173,I Am Sam,7.7,Drama,,
381,The Last Emperor,7.7,Biography,Drama,History
355,The French Connection,7.7,Action,Crime,Drama
303,Silver Linings Playbook,7.7,Comedy,Drama,Romance
380,The Ladykillers,7.7,Comedy,Crime,
115,Donnie Brasco,7.7,Biography,Crime,Drama
305,Skyfall,7.7,Action,Adventure,Thriller
349,The Dirty Dozen,7.7,Action,Adventure,War
160,Harry Potter and the Goblet of Fire,7.7,Adventure,Family,Fantasy
246,Nebraska,7.7,Adventure,Comedy,Drama
108,Deliverance,7.7,Adventure,Drama,Thriller
35,As Good as It Gets,7.7,Comedy,Drama,Romance
341,The Broken Circle Breakdown,7.7,Drama,Music,Romance
314,"South Park: Bigger, Longer & Uncut",7.7,Animation,Comedy,Fantasy
89,Changeling,7.7,Biography,Crime,Drama
451,Training Day,7.7,Crime,Drama,Thriller
336,The Birds,7.7,Drama,Horror,Mystery
331,The African Queen,7.7,Adventure,Drama,Romance
98,Coraline,7.7,Animation,Drama,Family
327,Tangled,7.7,Animation,Adventure,Comedy
11,A Man for All Seasons,7.7,Biography,Drama,History
352,The Fifth Element,7.7,Action,Adventure,Sci-Fi
300,Short Cuts,7.7,Comedy,Drama,
290,Sabrina,7.7,Comedy,Drama,Romance
284,Road to Perdition,7.7,Crime,Drama,Thriller
99,Crash,7.7,Crime,Drama,Thriller
174,In America,7.7,Drama,,
126,Ex Machina,7.7,Drama,Sci-Fi,Thriller
286,Roma,7.7,Drama,,
124,Empire of the Sun,7.7,Action,Drama,History
158,Hamlet,7.7,Drama,,
80,Captain America: The Winter Soldier,7.7,Action,Adventure,Sci-Fi
257,Ordinary People,7.7,Drama,,
464,Who Framed Roger Rabbit,7.7,Animation,Adventure,Comedy
296,Serpico,7.7,Biography,Crime,Drama
75,Brokeback Mountain,7.7,Drama,Romance,
230,Midnight in Paris,7.7,Comedy,Fantasy,Romance
10,A Little Princess,7.7,Drama,Family,Fantasy
299,Shine,7.7,Biography,Drama,Music
79,Cape Fear,7.7,Drama,Thriller,
9,A Hard Day's Night,7.6,Comedy,Music,Musical
438,The Visitor,7.6,Drama,,
209,Lethal Weapon,7.6,Action,Crime,Thriller
461,When Harry Met Sally...,7.6,Comedy,Drama,Romance
4,21 Grams,7.6,Crime,Drama,Thriller
180,Incredibles 2,7.6,Animation,Action,Adventure
453,True Grit,7.6,Drama,Western,
12,A Star Is Born,7.6,Drama,Music,Romance
32,Apollo 13,7.6,Adventure,Drama,History
73,Bridge of Spies,7.6,Drama,History,Thriller
