,winner,Genre
1221,False,Animation
1222,False,Crime
1223,False,Crime
1224,False,Crime
1225,False,Crime
1226,False,Crime
1227,False,Crime
1228,False,Crime
1229,True,Drama
1230,False,Drama
1231,False,Drama
1232,True,Drama
1233,False,Drama
1234,False,Romance
1235,False,Romance
1236,False,Romance
1237,False,Romance
1238,False,Romance
1239,False,Romance
1240,False,Romance
1241,False,Romance
1242,False,History
1243,False,History
1244,True,History
1245,True,History
1246,False,History
1247,True,History
1248,True,History
1249,False,History
1250,True,History
1251,True,History
1252,False,History
1253,True,History
1254,False,Drama
1255,True,Action
1256,False,Action
1257,False,Action
1258,False,Action
1259,False,Action
1260,False,Action
1261,False,Action
1262,False,Comedy
1263,True,Sci-Fi
1264,True,Sci-Fi
1265,True,Sci-Fi
1266,False,Drama
1267,False,Drama
1268,False,Drama
1269,False,Drama
1270,False,Drama
1271,False,Drama
1272,False,Drama
1273,True,Romance
1274,False,Romance
1275,False,Romance
1276,False,Romance
1277,True,Romance
1278,True,Romance
1279,False,Romance
1280,False,Romance
1281,True,Romance
1282,False,Romance
1283,False,Romance
1284,True,Romance
1285,True,Romance
1286,False,Crime
1287,False,Crime
1288,False,Crime
1289,False,Crime
1290,False,Crime
1291,False,Crime
1292,True,Crime
1293,True,Comedy
1294,True,Comedy
1295,True,Animation
1296,True,Animation
1297,False,Animation
1298,False,Animation
1299,False,Animation
1300,False,History
1301,False,History
1302,False,History
1303,True,History
1304,False,History
1305,False,History
1306,True,History
1307,False,History
1308,False,History
1309,True,Mystery
1310,True,Mystery
1311,False,Crime
1312,False,Romance
1313,False,Romance
1314,False,Romance
1315,False,Romance
1316,False,Romance
1317,False,Romance
1318,False,Romance
1319,True,Romance
1320,False,Family
1321,False,Family
1322,True,History
1323,False,History
1324,True,History
1325,False,History
1326,True,History
1327,False,History
1328,True,History
1329,False,History
1330,True,History
1331,False,History
1332,False,Animation
1333,False,Animation
1334,False,Animation
1335,True,Music
1336,False,Music
1337,False,Music
1338,False,Music
1339,False,Music
1340,False,Music
1341,False,Music
1342,False,Drama
1343,True,Drama
1344,False,Thriller
1345,True,Thriller
1346,False,Thriller
1347,False,Thriller
1348,False,Thriller
1349,False,Thriller
1350,True,Thriller
1351,False,Mystery
1352,False,Comedy
1353,False,Comedy
1354,False,Comedy
1355,False,Comedy
1356,False,Comedy
1357,False,Drama
1358,False,Thriller
1359,False,Drama
1360,False,Romance
1361,True,Romance
1362,False,Romance
1363,False,Romance
1364,False,Romance
1365,False,Romance
1366,False,Romance
1367,False,Romance
1368,True,Romance
1369,True,Romance
1370,False,Romance
1371,True,Romance
1372,False,Romance
1373,False,Romance
1374,False,Romance
1375,False,Romance
1376,False,Drama
1377,False,Drama
1378,False,Drama
1379,True,Mystery
1380,False,Mystery
1381,False,Mystery
1382,False,Mystery
1383,False,Mystery
1384,False,Mystery
1385,False,Mystery
1386,False,Mystery
1387,True,Mystery
1388,False,Sci-Fi
1389,False,Sci-Fi
1390,False,Crime
1391,False,War
1392,False,War
1393,True,War
1394,True,War
1395,True,War
1396,False,War
1397,False,War
1398,False,War
1399,True,War
1400,True,War
1401,False,War
1402,False,Drama
1403,False,Comedy
1404,False,Comedy
1405,False,Comedy
1406,False,War
1407,False,War
1408,False,War
1409,False,War
1410,False,War
1411,False,War
1412,False,War
1413,False,Animation
1414,False,Animation
1415,False,Animation
1416,False,Thriller
1417,False,Thriller
1418,False,Thriller
1419,False,Thriller
1420,False,Thriller
1421,False,Thriller
1422,False,Thriller
1423,False,Biography
1424,True,Drama
1425,False,Drama
1426,True,Drama
